Feature	Gain	Cover	Frequency
azar_under	0.651109418488547	0.12232676220955	0.0722591362126246
ctrx_quarter_normalizado	0.158943181950347	0.0265352686766095	0.0149501661129568
mcuentas_saldo	0.0165855845438603	0.0211609203001284	0.0191029900332226
ctrx_quarter	0.0161886593227432	0.0104020212061779	0.00664451827242525
cpayroll_trx	0.0136130503649713	0.0108041974879388	0.00581395348837209
mpayroll_sobre_edad	0.00906850317752585	0.0226412799775385	0.00996677740863787
mpasivos_margen	0.00882700005928086	0.0109876355789094	0.01578073089701
mtarjeta_visa_consumo	0.00676898407060936	0.0131858319682601	0.00996677740863787
mcomisiones_min6	0.00621050505616773	0.0149250454412268	0.0199335548172757
ctrx_quarter_normalizado_lag1	0.00614428684052281	0.000145689429313693	0.000830564784053156
mpayroll	0.0057710591749777	0.0139885521572238	0.00664451827242525
mcaja_ahorro	0.00462213754846833	0.014619954636311	0.0132890365448505
mprestamos_personales	0.00448767477022409	0.0173776065960991	0.0132890365448505
mpasivos_margen_max6	0.00346894752090798	0.00388125617751747	0.00498338870431894
vm_msaldopesos	0.00343516449324512	0.00223937303757971	0.00332225913621262
mcomisiones_avg6	0.00327216142045545	0.0119499611902949	0.010797342192691
cpayroll_trx_max6	0.00244690152621152	0.000659642558943005	0.00166112956810631
mprestamos_personales_min6	0.0020897632600211	0.00166187972827493	0.00249169435215947
mpasivos_margen_avg6	0.00207937598033479	0.000448127625572453	0.00249169435215947
vm_status06	0.0020402671406251	0.00535835110581134	0.00415282392026578
mrentabilidad_annual_max6	0.00200808025238811	0.0049958823351771	0.00830564784053156
vm_msaldototal	0.00180634625095701	0.000765828523949791	0.00166112956810631
mcomisiones_mantenimiento_delta2	0.00172352073379744	0.00774218929178614	0.0116279069767442
cproductos_delta2	0.00131374733437549	0.00806095123362626	0.00581395348837209
ccomisiones_mantenimiento_delta2	0.00127256670436377	0.0133884912696528	0.010797342192691
mactivos_margen_min6	0.00114447545605036	0.00996238192830774	0.010797342192691
mcaja_ahorro_min6	0.00107019941934379	0.00689359937773882	0.00747508305647841
cpayroll_trx_avg6	0.00100466773191332	0.00582957683138142	0.00581395348837209
mcuentas_saldo_tend6	0.000878212489530199	0.00255250328719427	0.00664451827242525
cdescubierto_preacordado_min6	0.000843022361391894	0.00887648556287131	0.00581395348837209
cprestamos_personales_tend6	0.000821837923970394	0.010493923893801	0.00415282392026578
mtarjeta_master_consumo	0.000815667445864341	0.00613903423824017	0.00415282392026578
ctarjeta_master_min6	0.000808191528583786	0.000270729320466957	0.000830564784053156
mrentabilidad_annual_min6	0.000795581319378402	0.00190387925651868	0.00332225913621262
vm_status05	0.000749289283167737	0.00097432356438779	0.00332225913621262
ctrx_quarter_normalizado_lag2	0.000667943173587865	0.000239020444675153	0.000830564784053156
mcuenta_corriente_lag2	0.000656842269291673	0.00252001903348735	0.00581395348837209
mtarjeta_visa_consumo_tend6	0.000640786054795607	0.00571979964234673	0.00664451827242525
mrentabilidad_annual	0.000614847596272037	0.00162915061838429	0.00332225913621262
cproductos_tend6	0.000603593769503634	0.0136613018676814	0.00747508305647841
vmr_msaldopesos	0.000602772263517227	0.000990851356788923	0.00332225913621262
mprestamos_personales_lag2	0.000579124068151703	0.00077190911917885	0.00166112956810631
mactivos_margen_delta2	0.000512985551222256	0.00387542043847213	0.00498338870431894
mcaja_ahorro_tend6	0.000506693893327446	0.00327242127669647	0.00581395348837209
mactivos_margen	0.000503512918311466	0.00127292568043493	0.00415282392026578
ctarjeta_visa_transacciones_delta1	0.000502633970005809	0.00211792437045435	0.00415282392026578
cpayroll_trx_min6	0.000499536381632696	0.00218619843634841	0.000830564784053156
mcomisiones_mantenimiento_delta1	0.000497714301738083	0.0106879724193995	0.00664451827242525
mrentabilidad_delta2	0.000497421897013609	0.00190175716959311	0.00581395348837209
mautoservicio	0.000466917482221364	0.00467393726294861	0.00332225913621262
ctarjeta_visa	0.000445814889167992	0.00252136574249781	0.00249169435215947
mrentabilidad_tend6	0.000424920292809952	0.00159062657881227	0.00581395348837209
ctarjeta_visa_transacciones	0.000418282571264136	0.00104031230590046	0.00249169435215947
vm_status04	0.000413559006380773	0.00475796374332869	0.00332225913621262
cdescubierto_preacordado	0.000411893772305108	0.00295998478626912	0.00249169435215947
Visa_mpagominimo_lag2	0.000411846973905992	0.00538406100510199	0.00415282392026578
Visa_mconsumospesos_delta2	0.000405496268391543	0.000996360620922635	0.00498338870431894
mcaja_ahorro_avg6	0.000393291436462122	0.00366341579273414	0.00498338870431894
mcuenta_corriente_max6	0.000373501061548063	0.00552983205314359	0.00498338870431894
ccallcenter_transacciones_delta2	0.00037215510244144	0.00566425809800614	0.00332225913621262
Master_fechaalta_lag1	0.000369368104473485	0.00101121522940168	0.00249169435215947
ccaja_seguridad	0.000368311497981532	0.0103539069660768	0.00415282392026578
vmr_mpagominimo	0.000367941110136865	0.00141167751787654	0.00415282392026578
mttarjeta_visa_debitos_automaticos_tend6	0.000360476623670226	0.00547943248866112	0.00498338870431894
mrentabilidad_annual_avg6	0.000358626993224759	0.000856547740018234	0.00249169435215947
mautoservicio_min6	0.000350647817979477	0.00204050900703472	0.000830564784053156
ctrx_quarter_delta1	0.000348669345262778	0.00460966251472198	0.00581395348837209
mcomisiones_tend6	0.000348615434465357	0.00296826908715166	0.00581395348837209
Visa_fechaalta	0.000346486786685038	0.00211739384872295	0.00332225913621262
ccallcenter_transacciones	0.000336630444346153	0.00782490987251971	0.00332225913621262
mcuenta_corriente_tend6	0.000333753651509641	0.00112319612408985	0.00166112956810631
mrentabilidad_annual_lag2	0.000331400476703478	0.00145632296204158	0.00498338870431894
mcuenta_debitos_automaticos	0.000329632218860609	0.00334779617191842	0.00332225913621262
vm_status06_delta2	0.000329083699210419	0.00565213771691197	0.00249169435215947
mcuentas_saldo_min6	0.000327041312227995	0.00230732062856215	0.00332225913621262
mactivos_margen_lag2	0.000319727300428527	0.00135070832813014	0.00249169435215947
Visa_mpagominimo	0.000317531205006957	0.0011691474679014	0.00249169435215947
vmr_mpagospesos_delta2	0.000311029404764158	0.00168567158745977	0.00332225913621262
mactivos_margen_delta1	0.000304368305336284	0.00576162924039899	0.00415282392026578
mtarjeta_visa_consumo_delta2	0.000301509395101226	0.00141608492918351	0.00332225913621262
mcuenta_corriente_min6	0.000300825659479196	0.00122375039687106	0.00332225913621262
