Feature	Gain	Cover	Frequency
azar_under	0.504577776862316	0.0246608824367155	0.0105480180899175
ctrx_quarter_normalizado	0.0469224499927733	0.00747221846802423	0.00415003990422985
ctrx_quarter	0.0406218858194236	0.00680233425635912	0.00375099760574621
ctrx_quarter_normalizado_lag1	0.0314791552344738	0.00398273283426616	0.00264698057994147
ctrx_quarter_lag1	0.0153926045035808	0.00303917482483918	0.00304602287842511
mpasivos_margen_max6	0.0135158753668151	0.00241183772022899	0.00407023144453312
mpayroll_sobre_edad	0.0132371366181908	0.0110769915628789	0.00303272146847566
mpasivos_margen	0.0112191363843565	0.00680740680309488	0.00595903165735568
ctrx_quarter_lag2	0.0106938834832806	0.00263726393132097	0.00351157222665603
cpayroll_trx	0.00960190567989412	0.00492676644784154	0.00147645650438947
mtarjeta_visa_consumo	0.0080740090277658	0.00468740385042247	0.00333865389731312
ctrx_quarter_normalizado_lag2	0.00780373106297927	0.00297947719523722	0.00281989890928438
mpayroll	0.00753125546288886	0.00933680676013378	0.00254056930034584
mcaja_ahorro	0.00721422614506035	0.00536918324342189	0.00526735833998404
mcuentas_saldo	0.00668765962092735	0.0127166647914154	0.00667730779462623
mpayroll_min6	0.00594984382384236	0.00502695982425692	0.00150305932428837
vm_msaldopesos	0.00584758750931849	0.00136985842528831	0.00196860867251929
mprestamos_personales	0.00562721772242918	0.0123825706488509	0.0045756850226124
mcaja_ahorro_max6	0.00556136863126079	0.00127854750642023	0.00255387071029529
mcomisiones_min6	0.00484885824584765	0.0082386926353505	0.00562649640861931
cpayroll_trx_min6	0.00451242200711644	0.00471482809959149	0.00109071561585528
cpayroll_trx_avg6	0.00414631990582598	0.00315118552568202	0.00238095238095238
mprestamos_personales_lag1	0.00387843894682952	0.00205748385646768	0.00192870444267092
mcomisiones_avg6	0.00298876549864145	0.00520135929561259	0.00474860335195531
mcaja_ahorro_min6	0.00277528888946186	0.00237300743420568	0.00383080606544294
ctarjeta_visa_transacciones	0.00249879654619902	0.00232948542327362	0.00191540303272147
ccomisiones_mantenimiento_delta2	0.00245905805038399	0.00554981803749179	0.00285980313913275
mcuentas_saldo_min6	0.00239462471429231	0.00522787126493824	0.00476190476190476
mrentabilidad_annual_max6	0.0023916309167887	0.0023743716226171	0.00444267092311785
cpayroll_trx_lag1	0.0023899850330348	0.00117790729906115	0.000598563447725459
vm_msaldototal	0.00234993404069134	0.00113389445110761	0.0015828677839851
mpasivos_margen_avg6	0.00209524453902421	0.00140075915460256	0.00263367916999202
vm_mpagominimo	0.0019287453307606	0.00102692244617147	0.00188880021282256
mcaja_ahorro_lag2	0.00186057147035625	0.00206816210049702	0.00359138068635275
mprestamos_personales_min6	0.00183155695746826	0.00198183402366768	0.0014365522745411
mcomisiones_mantenimiento	0.00175202936008865	0.00366414914158047	0.00381750465549348
mrentabilidad_annual_avg6	0.00172429531504205	0.00206476347725865	0.00409683426443203
mpasivos_margen_lag2	0.00167593120649526	0.00156008992939883	0.00323224261771748
