Feature	Gain	Cover	Frequency
azar_under	0.653584785934135	0.0989609531738216	0.0325724544755065
ctrx_quarter_normalizado	0.137941837219788	0.0352914624993942	0.0151320851500385
ctrx_quarter	0.0215509330022319	0.0226349898526995	0.0176968453449602
mcuentas_saldo	0.0137417649293936	0.0142376677966211	0.0141061810720698
mpayroll_sobre_edad	0.0121580889585307	0.0327635142624482	0.0125673249551167
mpasivos_margen	0.0113958660206948	0.0147241472922721	0.0179533213644524
mcaja_ahorro	0.00923014935800584	0.0194885534769922	0.0169274172864837
cpayroll_trx	0.00916378973057077	0.0119786612520853	0.00666837650679662
mpayroll	0.00645363312292672	0.0155436721538854	0.00589894844832008
mtarjeta_visa_consumo	0.00597804814495585	0.0100725128890572	0.00948961272121057
mcomisiones_min6	0.00553013379390741	0.00744446385729198	0.0112849448576558
mcomisiones_avg6	0.0043931950612199	0.0116275021347013	0.0135932290330854
mprestamos_personales_min6	0.00424552701087111	0.000954298083637094	0.00128238009746089
cpayroll_trx_avg6	0.0034964879429977	0.0101310586070859	0.00641190048730444
mprestamos_personales	0.00320647588704539	0.0096380996296069	0.0046165683508592
ccomisiones_mantenimiento_delta2	0.00268048144971198	0.00801123133221689	0.0056424724288279
ctrx_quarter_normalizado_lag1	0.00261229559692916	0.00499395262761563	0.0056424724288279
mprestamos_personales_lag2	0.00257017101427499	0.00042591793883133	0.00102590407796871
ctarjeta_visa_transacciones	0.00242439493635754	0.00412385901004634	0.0046165683508592
vm_msaldopesos_lag2	0.00204455615885183	0.000898315360642631	0.00153885611695307
mactivos_margen	0.00197973090166126	0.000654658046210455	0.00102590407796871
mrentabilidad_annual_max6	0.00192023986106628	0.00550914342718916	0.0079507566042575
vm_msaldototal	0.00174589079485861	0.00245546443356269	0.00615542446781226
cproductos	0.00171015367398251	0.00769151929997176	0.00666837650679662
mrentabilidad_min6	0.00161770911865695	0.000979755247797127	0.00307771223390613
vm_status05	0.0015028190585462	0.00147291580915524	0.00179533213644524
mactivos_margen_min6	0.00139810463464231	0.0034408928276715	0.00820723262374968
mcaja_ahorro_min6	0.00133213287255685	0.00545690440480646	0.00589894844832008
cproductos_delta2	0.00133032490024881	0.00646992099265431	0.00436009233136702
mcomisiones_tend6	0.00123127561805443	0.00231429812280196	0.00641190048730444
vm_status01	0.00120242119082308	0.00716388789528835	0.00179533213644524
Visa_fechaalta_lag2	0.00111502090460157	0.0011332757705767	0.00384714029238266
mcuentas_saldo_tend6	0.00110583628547383	0.00183510444449545	0.0056424724288279
mcomisiones_mantenimiento	0.00103350079981872	0.00539614126410774	0.00384714029238266
ctrx_quarter_lag1	0.0009917999533322	0.00542994976040172	0.00589894844832008
mcomisiones_mantenimiento_delta2	0.000952261742112885	0.00314563004019093	0.00410361631187484
vmr_msaldopesos	0.000917003274205747	0.00249408214525795	0.00333418825339831
mprestamos_personales_lag1	0.000868747445070713	0.000750611972659812	0.00179533213644524
mactivos_margen_delta2	0.000752212913893604	0.00364656597974272	0.00410361631187484
mcuenta_corriente_lag1	0.000696174365159	0.00183550761225364	0.00333418825339831
cdescubierto_preacordado_min6	0.000668852989567979	0.00180204468832382	0.00153885611695307
cdescubierto_preacordado	0.000656021610091421	0.00444103684495427	0.00256476019492177
vm_fechaalta_lag1	0.000602923098422484	0.000869776842902141	0.00128238009746089
mpasivos_margen_max6	0.000602077434494235	0.00120236144571235	0.00282123621441395
cprestamos_personales_tend6	0.000585328630394466	0.00547277193586096	0.0023082841754296
vm_status04	0.000581961337925952	0.0146210515369633	0.00487304437035137
vm_mpagominimo	0.000575116836423147	0.000933534944090279	0.00256476019492177
mpasivos_margen_avg6	0.00055780942251533	0.00125036720663404	0.00307771223390613
ctarjeta_visa_transacciones_delta1	0.000554455733034374	0.00569388065353148	0.00512952038984355
mrentabilidad_max6	0.000543579584586048	0.00275959691172345	0.00384714029238266
mautoservicio	0.000541665770943122	0.00501782591843991	0.00436009233136702
mcuentas_saldo_delta1	0.000522288960891125	0.000885932350926777	0.00179533213644524
chomebanking_transacciones_delta1	0.000492093362334675	0.00319942413821236	0.00384714029238266
mactivos_margen_avg6	0.000482515443706933	0.00173503244737314	0.00410361631187484
Visa_msaldopesos	0.000457517879573753	0.00370298066819239	0.00589894844832008
mcuenta_corriente_max6	0.000452473729459013	0.00357909297563983	0.00282123621441395
mcuentas_saldo_lag2	0.000446180879320453	0.000830554379569601	0.00205180815593742
mcomisiones_otras_lag2	0.000432368631982593	0.00186303821059865	0.00359066427289048
vmr_mpagominimo	0.000432007360084524	0.000591850269023766	0.0023082841754296
cproductos_tend6	0.000429560192744585	0.00348247670215916	0.00384714029238266
mpayroll_lag1	0.000415882330040728	0.000837782601520017	0.00128238009746089
ccaja_ahorro	0.000415304909246923	0.0082845790722701	0.00410361631187484
cprestamos_personales	0.000414496367002352	0.00169742265507337	0.00128238009746089
mautoservicio_max6	0.000414306703529488	0.00458776111123862	0.00256476019492177
mactivos_margen_delta1	0.000412927764773337	0.00609457180977889	0.00512952038984355
vmr_msaldototal	0.000412534664128228	0.00289261347422933	0.00205180815593742
mtarjeta_master_consumo	0.000398553859037133	0.00158286541635322	0.00153885611695307
ccallcenter_transacciones_delta2	0.000396370712822999	0.00479375103797699	0.0023082841754296
azar_sampling	0.000395627515610492	0.00213396694410272	0.00410361631187484
ctrx_quarter_lag2	0.000391332239661387	0.00389831544703572	0.00384714029238266
ctarjeta_visa	0.00039010301383841	0.000876976267155544	0.000769428058476533
mtarjeta_visa_consumo_tend6	0.000382741197470891	0.00288581721773412	0.00282123621441395
numero_de_cliente	0.000368377753242839	0.00251138956116313	0.00384714029238266
Visa_status	0.000365517194870058	0.00375280068402594	0.00102590407796871
mcuenta_corriente	0.000365486687302801	0.000521843067583674	0.00179533213644524
mrentabilidad_lag2	0.000359702071607959	0.00113632832646014	0.00153885611695307
mactivos_margen_tend6	0.000358007084188456	0.00192408932826751	0.00307771223390613
ctrx_quarter_normalizado_lag2	0.000348468634444233	0.00116555798892896	0.00128238009746089
vm_mpagominimo_lag2	0.000341887238045115	0.00229267105234474	0.00256476019492177
ctrx_quarter_delta1	0.000336957961255781	0.0044571923529789	0.00538599640933573
mpasivos_margen_tend6	0.000330469254945736	0.000945802763018078	0.00256476019492177
vm_Fvencimiento	0.000329397362534936	0.000596227518969835	0.00153885611695307
mcomisiones_mantenimiento_delta1	0.000329063888107988	0.00607320391859479	0.00282123621441395
