Feature	Gain	Cover	Frequency
ccajas_transacciones	0.000444468947891311	0.0103177887814407	0.00479846449136276
mrentabilidad_delta2	0.000442692957674893	0.00334438757408729	0.00767754318618042
mrentabilidad_annual_min6	0.000430524741910926	0.00662597583686672	0.00671785028790787
ccomisiones_otras_lag2	0.000400238203048141	0.00457803213985913	0.00575815738963532
mrentabilidad_min6	0.000397380190749458	0.00572846029644287	0.00575815738963532
cprestamos_personales_tend6	0.000397264635548616	0.00224132039045524	0.000959692898272553
mrentabilidad_annual_lag2	0.000396190547223869	0.00491282233911662	0.00575815738963532
mtarjeta_master_consumo	0.000389597027061125	0.00241716682978031	0.00191938579654511
mpasivos_margen_lag2	0.000389356168482145	0.0035394796384634	0.00383877159309021
Visa_msaldodolares_delta2	0.000384382983905014	0.00210011607622205	0.00191938579654511
mcomisiones_mantenimiento	0.000384357711521983	0.00421671644868347	0.00479846449136276
mcuentas_saldo_min6	0.000384198488281325	0.0045580752634475	0.00383877159309021
chomebanking_transacciones_delta2	0.000381346319769495	0.00724740033443876	0.00575815738963532
Visa_mpagominimo	0.00038121889028287	0.00452293107857169	0.00575815738963532
mcuentas_saldo_lag2	0.000375466693232123	0.00313854306267179	0.00383877159309021
mcaja_ahorro_min6	0.000368686299125326	0.0035095234046883	0.00575815738963532
Visa_fechaalta_lag1	0.000364549240589766	0.00161813868363941	0.00383877159309021
chomebanking_transacciones_delta1	0.000363260309905891	0.00697068171685703	0.00575815738963532
Master_fechaalta	0.000358410861228899	0.00219471250717945	0.00383877159309021
cliente_edad	0.000347870133327678	0.0049874618936624	0.00479846449136276
mautoservicio_lag1	0.000346683918377885	0.00274735481435168	0.00287907869481766
mactivos_margen_avg6	0.000339949828113245	0.00336769151572518	0.00383877159309021
vm_fechaalta	0.000333356624156437	0.00324535628170508	0.00383877159309021
ccallcenter_transacciones_delta1	0.000325169200212878	0.00203794433964411	0.000959692898272553
vm_mpagado_lag2	0.000324426290928486	0.00207200072832139	0.00287907869481766
vm_status02_delta2	0.000323615418448164	0.00215806214295182	0.00191938579654511
vm_fechaalta_lag2	0.000323292983254822	0.00258422722288643	0.00287907869481766
mcuenta_corriente_lag2	0.000322256268966014	0.0053532542845782	0.00479846449136276
Visa_fechaalta_lag2	0.000314113083738699	0.00287132174266959	0.00479846449136276
vm_cconsumos_lag1	0.000313761381427329	0.00288554676988123	0.00287907869481766
Visa_cconsumos_lag1	0.000308609719679499	0.00239377921151176	0.00479846449136276
mcuenta_corriente_delta1	0.000305543984172485	0.00451891460030017	0.00479846449136276
Visa_mconsumospesos_lag1	0.000299730809065518	0.00300097868187216	0.00479846449136276
mcuenta_debitos_automaticos	0.000299099308166973	0.00469434265647195	0.00383877159309021
vm_cconsumos_lag2	0.00029887217744286	0.00262451752054763	0.00287907869481766
chomebanking_transacciones_lag1	0.00029761771170031	0.00342224867891336	0.00479846449136276
mcaja_ahorro_dolares_tend6	0.000297355015337065	0.00129372438658336	0.00191938579654511
chomebanking_transacciones_lag2	0.00029623019553418	0.00148835622949086	0.00287907869481766
ctrx_quarter_delta2	0.000295558001943105	0.0035762136793217	0.00383877159309021
Visa_mpagospesos_delta1	0.000292178453124615	0.00167424386449473	0.00287907869481766
Visa_cconsumos_delta1	0.000285058832536382	0.0016538267666145	0.00191938579654511
Visa_mpagospesos	0.000284270787113183	0.00306047276626908	0.00479846449136276
ctarjeta_visa_transacciones_delta1	0.000281468943529001	0.00366198222574482	0.00287907869481766
ctarjeta_visa_transacciones	0.00028066057058132	0.00581782693798424	0.00383877159309021
cmobile_app_trx_lag1	0.000279866785267503	0.00175139371796022	0.00287907869481766
mactivos_margen_delta1	0.000279614952836788	0.005545375828566	0.00383877159309021
cliente_edad_max6	0.000279307160989786	0.00367963799481339	0.00479846449136276
Visa_cconsumos_lag2	0.000278312015735674	0.00234541411899219	0.00383877159309021
Visa_mconsumospesos_delta1	0.000276083866087637	0.00235516244646369	0.00383877159309021
Master_fechaalta_lag2	0.000268554142586631	0.00380067624105832	0.00575815738963532
Visa_mconsumospesos	0.000267629205967032	0.00340911144790025	0.00383877159309021
mautoservicio_max6	0.000266081904918271	0.00284354110129157	0.00287907869481766
mactivos_margen_lag2	0.000263153500660919	0.00216132553154743	0.00383877159309021
mautoservicio_delta1	0.000260768220754374	0.00363888747568357	0.00383877159309021
Master_fechaalta_lag1	0.000258148412410548	0.00453975008133369	0.00479846449136276
vm_mpagominimo_lag2	0.000257326144470576	0.00458849171869122	0.00479846449136276
vm_mconsumototal_lag2	0.000252939332181896	0.00539459054012261	0.00383877159309021
mttarjeta_visa_debitos_automaticos_max6	0.000252545176964952	0.00354487678114076	0.00383877159309021
ctarjeta_visa_transacciones_tend6	0.000251097020028934	0.00121833174236166	0.00191938579654511
vmr_msaldototal_delta2	0.000250779326418895	0.00136175348730726	0.00191938579654511
Master_Fvencimiento_lag2	0.000249983294537188	0.00232273775208422	0.00383877159309021
vm_status05	0.000243314053592875	0.0018940623732299	0.00287907869481766
ccomisiones_mantenimiento_delta1	0.000242933136864468	0.00353922860857143	0.00191938579654511
vm_mpagominimo	0.000242250728315906	0.0005794606672977	0.000959692898272553
mcaja_ahorro_dolares_max6	0.000241628862663965	0.00167884607918085	0.00191938579654511
mtransferencias_emitidas_lag1	0.000238710044716585	0.00490830380106115	0.00479846449136276
mtarjeta_visa_consumo_min6	0.000236232070545528	0.00192134095482399	0.00287907869481766
mcuenta_debitos_automaticos_min6	0.000234947849824363	0.00239022295470885	0.00191938579654511
ctrx_quarter_normalizado_lag1	0.000234629927341456	0.00496947141807121	0.00383877159309021
mttarjeta_visa_debitos_automaticos_tend6	0.000232566555430142	0.00649008498868023	0.00575815738963532
Master_msaldototal_delta2	0.000228391145067071	0.00433327799518826	0.00191938579654511
mcuenta_debitos_automaticos_tend6	0.000227945430213584	0.00530434529395935	0.00287907869481766
mttarjeta_visa_debitos_automaticos_avg6	0.000225056696249566	0.00200422265748946	0.00191938579654511
Visa_mfinanciacion_limite_lag2	0.000220539811896079	0.00125640460931046	0.00191938579654511
azar_sampling	0.000219395209647515	0.00227269912695151	0.00287907869481766
mcomisiones_max6	0.000218188915620761	0.00156818373513736	0.00383877159309021
mtransferencias_recibidas	0.000218068340274243	0.00205187649864846	0.00287907869481766
mpasivos_margen_tend6	0.000217166087289788	0.0016806869650553	0.00287907869481766
vmr_Visa_mlimitecompra	0.000215725663847529	0.0020103310515274	0.00287907869481766
vmr_msaldopesos	0.000215051554951926	0.00160408100968908	0.00191938579654511
mtransferencias_emitidas_lag2	0.000213486733082804	0.00199472535990992	0.00191938579654511
mcomisiones_otras_delta2	0.000210279561671925	0.00168420138354288	0.00287907869481766
mtransferencias_recibidas_lag1	0.000209284982577013	0.0016305228249766	0.00383877159309021
mv_status07	0.000207423577608463	0.00200275831645297	0.000959692898272553
vmr_msaldototal	0.000204160308252983	0.000777481413746799	0.000959692898272553
mcuentas_saldo_delta2	0.000202455345418593	0.00267200400844532	0.00479846449136276
cpagomiscuentas_max6	0.000192809689615585	0.00174390465951644	0.00287907869481766
cliente_edad_lag2	0.000191202990034544	0.0022598547641457	0.00287907869481766
mcaja_ahorro_max6	0.000190875650637702	0.00348621946305041	0.00383877159309021
ctarjeta_visa_debitos_automaticos_tend6	0.000188475078409777	0.00120996407929599	0.00191938579654511
Master_Fvencimiento_lag1	0.00018844992648615	0.00148111820093905	0.00191938579654511
ctarjeta_visa_debitos_automaticos_max6	0.000186174857900123	0.00117494540936616	0.00191938579654511
mtarjeta_master_consumo_max6	0.000184181555906789	0.00342258338543598	0.00191938579654511
cliente_edad_min6	0.000183084613421553	0.0013538460457102	0.00287907869481766
mcaja_ahorro_tend6	0.000182105775359303	0.00230876375476455	0.00191938579654511
vm_mpagospesos_delta2	0.000181660924802042	0.000486872475476053	0.000959692898272553
Master_mfinanciacion_limite_lag2	0.000179723913488357	0.00155203414542061	0.00287907869481766
Master_mfinanciacion_limite_delta2	0.000178824726195742	0.00185954576308401	0.00191938579654511
cliente_edad_avg6	0.000178577579635856	0.00192096440998604	0.00191938579654511
