fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 224815	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	0.1	50	0.5	FALSE	318601	0.105052816750963	0.200420745766241	0.410438455216138	6.13269606544574	0.0479756743252084	14631	17218000	19
20221029 225054	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1074	1	1	1	0.1	50	0.5	FALSE	318601	0.0100822318054938	0.227681295786038	0.45897294089124	7.26855421154687	0.0307588396046411	13893	18934000	20
20221029 225424	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2074	1	1	1	0.1	50	0.5	FALSE	318601	0.0100212311354307	0.200492795980519	0.834655165050313	7.37339548912298	0.00534387332776682	15054	17652000	21
20221029 225624	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1057	1	1	1	0.1	50	0.5	FALSE	318601	0.0100177167842214	0.20223833617681	0.357947625657142	7.65026802502292	0.0352820885971329	13978	18924000	22
20221029 225819	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	860	1	1	1	0.1	50	0.5	FALSE	318601	0.0100209815560138	0.28569896623997	0.377324124682197	7.36255793249542	0.0349501754799655	13503	18594000	23
20221029 225838	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	0.1	50	0.5	FALSE	318601	0.299826197760771	0.799811936821099	0.478869684168402	5.81403356443002	0.018925753719144	15765	13510000	24
20221029 230128	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1834	1	1	1	0.1	50	0.5	FALSE	318601	0.0100627863010197	0.200248430552084	0.437163997828797	7.28546544590474	0.0124022487274321	13722	18796000	25
20221029 230225	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	360	1	1	1	0.1	50	0.5	FALSE	318601	0.0497303246905788	0.558656230801201	0.360573704685259	5.18745955069791	0.0190797746592175	13989	16582000	26
20221029 230502	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1379	1	1	1	0.1	50	0.5	FALSE	318601	0.0101865124253325	0.231157514355384	0.412214589373455	7.71008634793358	0.0144487647482687	14669	18342000	27
20221029 230638	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1042	1	1	1	0.1	50	0.5	FALSE	318601	0.0120293146489427	0.216052096040312	0.0815559924561766	7.41406369684558	0.0379517136318113	13538	18764000	28
20221029 230849	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1160	1	1	1	0.1	50	0.5	FALSE	318601	0.0100317166319619	0.302094247617395	0.491155263029741	5.87166441610424	0.0295687005414107	13332	18856000	29
20221029 231051	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	868	1	1	1	0.1	50	0.5	FALSE	318601	0.0103647672227785	0.337474546290201	0.519768123274722	6.84172392398861	0.0309644325485488	13049	18622000	30
20221029 231247	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	958	1	1	1	0.1	50	0.5	FALSE	318601	0.0101468958258975	0.258049797746135	0.352204148793151	7.04194142858078	0.0377650532948572	12872	18816000	31
20221029 231441	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1055	1	1	1	0.1	50	0.5	FALSE	318601	0.0100449308575222	0.200590309021479	0.280353040812078	7.46026817196807	0.0374948172593096	14693	18694000	32
20221029 231548	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	541	1	1	1	0.1	50	0.5	FALSE	318601	0.0159266635379141	0.255671799007433	0.0589087724922625	7.6041751372259	0.0384896711101773	14617	17326000	33
20221029 231741	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	837	1	1	1	0.1	50	0.5	FALSE	318601	0.0100434577933366	0.270324447572791	0.595110275144929	6.57906726847964	0.0409062848982412	13513	18494000	34
20221029 231927	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1287	1	1	1	0.1	50	0.5	FALSE	318601	0.0101252114736296	0.747596640745317	0.450137955831825	5.13414913046658	0.017891872426631	15377	15806000	35
20221029 231950	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	139	1	1	1	0.1	50	0.5	FALSE	318601	0.137432280266563	0.704481859502367	0.138800044379425	5.87710830922012	0.0216482654239964	13861	16678000	36
20221029 232202	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1018	1	1	1	0.1	50	0.5	FALSE	318601	0.0102107536018271	0.298627510753862	0.479054203002558	6.99875177076697	0.025770174871792	13651	18618000	37
20221029 232346	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	781	1	1	1	0.1	50	0.5	FALSE	318601	0.010359586733315	0.361123734564331	0.366464359484931	5.96481413675065	0.0349613305833922	13921	18478000	38
20221029 232616	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1881	1	1	1	0.1	50	0.5	FALSE	318601	0.0101598444198093	0.200032635334074	0.108299296810524	7.21895756377029	0.0268639959493648	13453	18614000	39
20221029 232819	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1184	1	1	1	0.1	50	0.5	FALSE	318601	0.0100080571634728	0.270508293351022	0.377143460417892	5.63501869207332	0.0309763582671715	14044	18472000	40
20221029 232851	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	0.1	50	0.5	FALSE	318601	0.0720734823166999	0.335518401604	0.660478786410783	5.93502971827645	0.0323961594959202	15025	17150000	41
20221029 233048	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1002	1	1	1	0.1	50	0.5	FALSE	318601	0.0100508416461961	0.318321467175851	0.324247722438635	6.22322319769904	0.0276630665999177	14983	17554000	42
