Feature	Gain	Cover	Frequency
azar_under	0.33339845967383	0.0301322571192126	0.0073887186880519
ctrx_quarter_normalizado_lag1	0.145590025426633	0.0115488324871929	0.00450531627320238
ctrx_quarter	0.0548637258053695	0.00982756986110937	0.00666786808433952
mcaja_ahorro	0.0316180829296085	0.00473764213285874	0.00540637952784286
ctrx_quarter_normalizado	0.0294895082886241	0.0123152813247319	0.00919084519733285
mpasivos_margen	0.0202220260071604	0.0105715874525744	0.0129753108668229
mpayroll_sobre_edad	0.0152439687838504	0.0179140340707621	0.00396467832041809
cpayroll_trx	0.0121707254963285	0.0077945225006008	0.00144170120742476
mprestamos_personales_max6	0.0100466310424001	0.000761032746072447	0.00126148855649667
ccomisiones_mantenimiento_delta2	0.00960089907116294	0.00406254790005672	0.00234276446206524
mprestamos_personales	0.00937663198362301	0.007063254292588	0.0036042530185619
ctrx_quarter_lag2	0.00910796782099406	0.00594897735086409	0.00450531627320238
mpayroll	0.00869949375273925	0.00723239930838909	0.00396467832041809
mcomisiones_min6	0.00854900419686091	0.00741798431864179	0.00865020724454857
vm_msaldototal	0.00791406190900716	0.00215124277251352	0.00162191385835286
Master_status	0.0068771165361098	0.00124239386641541	0.000540637952784285
cpayroll_trx_min6	0.00664726975769597	0.00554885760251966	0.00198233916020905
mtarjeta_visa_consumo	0.00500257329335154	0.00185513115233241	0.00216255181113714
cpayroll_trx_lag1	0.00479086099087302	0.00448807055527975	0.00216255181113714
mpasivos_margen_lag1	0.0040609743369461	0.00140823171132098	0.00288340241484952
mrentabilidad_annual_max6	0.00363519340863211	0.00363462874418477	0.00486574157505857
mpayroll_min6	0.00337220104725493	0.00418577596342442	0.00180212650928095
mrentabilidad_annual	0.00325708867312703	0.00352036359324405	0.00414489097134619
mcomisiones_mantenimiento_delta2	0.00301389695669214	0.00472939817062644	0.00522616687691476
mv_status07_delta2	0.00284978550200813	0.00180633839912031	0.00036042530185619
mprestamos_personales_lag2	0.00277235385680301	0.00180653011917223	0.00180212650928095
Visa_msaldopesos	0.00267638847315219	0.00276043323747011	0.00270318976392143
ctrx_quarter_normalizado_delta1	0.00261024661759111	0.00197021111349377	0.00378446566949
mcaja_ahorro_max6	0.00260785151373737	0.00359805814428218	0.00324382771670571
mactivos_margen_avg6	0.00246950130658114	0.00320330655739135	0.00612723013155524
mcomisiones_max6	0.00244298200160304	0.00232455769944373	0.00306361506577762
vm_status01	0.00238078006631894	0.00735946177279506	0.00126148855649667
mcuentas_saldo_min6	0.00225404842567576	0.00502905661176795	0.00558659217877095
mpayroll_lag1	0.00224490348304284	0.00436282943136695	0.00306361506577762
vm_status06_delta2	0.00222401582800254	0.00182167600327343	0.000540637952784285
mrentabilidad_annual_avg6	0.00220016428053312	0.00221134700878854	0.00396467832041809
mrentabilidad_avg6	0.00218287060118559	0.000744209311516997	0.00252297711299333
mcomisiones_mantenimiento_delta1	0.00218274456414384	0.0050998013109242	0.00414489097134619
ctrx_quarter_delta2	0.00214403826448912	0.00507042021296839	0.00702829338619571
mcomisiones_avg6	0.00213451255949809	0.0036526024990517	0.00234276446206524
vm_msaldopesos	0.00211420693051325	0.00226263212267553	0.00342404036763381
mcomisiones_lag2	0.0019997259236612	0.00193124401294225	0.00396467832041809
vm_Fvencimiento_lag1	0.00199094109186394	0.00254239960843097	0.00342404036763381
ctarjeta_visa_transacciones	0.00199043472981323	0.00481797283461068	0.00126148855649667
cproductos_tend6	0.00198997317094477	0.00309776466881272	0.00252297711299333
mrentabilidad_annual_tend6	0.00190300524520396	0.00272654671829432	0.00684808073526762
mrentabilidad_annual_min6	0.0018635015936238	0.00168646543666111	0.0036042530185619
Visa_fechaalta_lag2	0.00182816552134673	0.00188618980074247	0.00432510362227428
mactivos_margen	0.00180731144541376	0.00172514495713475	0.00414489097134619
mactivos_margen_tend6	0.00179757542459457	0.0022914380604756	0.00468552892413047
mcuenta_debitos_automaticos_min6	0.00179746309130722	0.0047591147786731	0.00216255181113714
mcuenta_corriente_min6	0.0017761161235619	0.00447532117182747	0.00612723013155524
cpayroll_trx_lag2	0.00174604762082531	0.000371457600583289	0.000901063254640476
ccomisiones_otras	0.00160063878366228	0.00396247003295764	0.00324382771670571
mtarjeta_visa_consumo_lag1	0.00150728376938684	0.00174311871200168	0.00180212650928095
ctarjeta_visa	0.00149847785607631	0.00123942220561075	0.00036042530185619
Visa_Fvencimiento	0.00149411072771183	0.000996417039809806	0.00450531627320238
