Feature	Gain	Cover	Frequency
azar_under	0.559197809468227	0.0290552094980615	0.0143558119488098
ctrx_quarter_normalizado	0.0497886131719397	0.00874748567645742	0.00533784231814866
ctrx_quarter	0.0423623484262613	0.00718833882938749	0.00520522511769777
ctrx_quarter_normalizado_lag1	0.0333454106721921	0.00466444797401574	0.00364697301239971
ctrx_quarter_lag1	0.0163183005621666	0.00281755648656916	0.00328227571115974
mpayroll_sobre_edad	0.014586035194002	0.0119998187090863	0.00450898481533055
mpasivos_margen_max6	0.0142705929908557	0.00265789399566361	0.0041774418142033
mpasivos_margen	0.0121553383138909	0.00876102638777986	0.00795703202705391
ctrx_quarter_lag2	0.0100188961027537	0.00276310922687314	0.00331543001127246
cpayroll_trx	0.00945712065437663	0.00483215939261783	0.00222133810755255
mtarjeta_visa_consumo	0.00908011752145786	0.0058551928406854	0.0048405278164578
mcaja_ahorro	0.00827682187921685	0.00625555782917581	0.00722763742457397
ctrx_quarter_normalizado_lag2	0.00820051649671544	0.00437475638774912	0.0040448246137524
mpayroll	0.00787293089777855	0.00893534914853424	0.00308334991048339
mcuentas_saldo	0.00714090485598532	0.0142967054989118	0.0100125986340428
mpayroll_min6	0.00635941340768266	0.00711804193050746	0.00265234400901797
mcaja_ahorro_max6	0.00612369248678949	0.00127041968419902	0.00238710960811617
vm_msaldopesos	0.0056591826024018	0.0014132500134263	0.00235395530800345
cpayroll_trx_min6	0.0050702105874416	0.00580545134661986	0.00205556660698893
mcomisiones_min6	0.00491843491453709	0.00863669592288562	0.00842119222863205
mprestamos_personales	0.00435094392267029	0.0152391927871328	0.00666401432265765
cpayroll_trx_avg6	0.00392435770694008	0.00316069729652446	0.00235395530800345
ctarjeta_visa_transacciones	0.00270777937818078	0.00293686832998606	0.00295073271003249
vm_mpagominimo	0.00269250524055656	0.00119834648807276	0.00185664080631258
mcomisiones_avg6	0.00266486400319088	0.00710022207516389	0.00580200251972681
cpayroll_trx_lag1	0.00266164275813735	0.0015832367472783	0.000895166103043565
ccomisiones_mantenimiento_delta2	0.00264044183455025	0.00636353188012585	0.00467475631589417
mcuentas_saldo_min6	0.00254929310874488	0.00937043596485531	0.00712817452423579
mrentabilidad_annual_max6	0.00244514341354671	0.00295115110435024	0.00537099661826139
mcaja_ahorro_min6	0.00231966617542462	0.00267968531035247	0.00454213911544327
vm_msaldototal	0.00220030668456582	0.00139320655454304	0.00172402360586168
mprestamos_personales_lag2	0.0021854798139553	0.00123774305450777	0.00162456070552351
