Feature	Gain	Cover	Frequency
azar_under	0.539491822483934	0.042700234238954	0.0240234733174399
ctrx_quarter	0.0623936392885498	0.00664625218259975	0.00485971025123785
ctrx_quarter_normalizado_lag1	0.0424174476852362	0.00285956270099932	0.00256739409499358
ctrx_quarter_normalizado	0.0335616044488597	0.00518663668691799	0.00394278378874014
mpasivos_margen_max6	0.0207971532762403	0.00350423398575959	0.00339262791124152
mpasivos_margen	0.0157603689693873	0.00758498957129637	0.0075187969924812
ctrx_quarter_lag1	0.0143379410860546	0.00229237543307488	0.00302585732624244
mpayroll_sobre_edad	0.0135233072377576	0.012799842488081	0.0059600220062351
ctrx_quarter_lag2	0.012853041755436	0.00277977042277444	0.00366770584999083
cpayroll_trx	0.00976481760038869	0.00471365633647018	0.00293416467999266
mpayroll	0.00788254019402153	0.00712121028125851	0.0037593984962406
vm_msaldopesos	0.00770792733410835	0.00136761022243995	0.00256739409499358
mtarjeta_visa_consumo	0.00753871698776654	0.00727986726846648	0.00632679259123418
ctrx_quarter_normalizado_lag2	0.00671023134889019	0.00232567197034056	0.00311754997249221
mcuentas_saldo	0.00652267517818109	0.0141276738502782	0.0103612690262241
mcaja_ahorro_lag1	0.00619460141936575	0.000730418131048838	0.00210893086374473
mpayroll_min6	0.00601350348114905	0.00595651382674693	0.00311754997249221
mcomisiones_min6	0.00541707541069716	0.0101284857185842	0.00880249403997799
mcaja_ahorro_min6	0.00452382512390001	0.00344599436526208	0.00430955437373923
mprestamos_personales	0.00444199271879146	0.0151143782966624	0.00779387493123052
mprestamos_personales_lag1	0.00432977624438721	0.00161898148696535	0.00229231615624427
mcaja_ahorro	0.00399691885904928	0.0072047341598814	0.00724371905373189
mcaja_ahorro_lag2	0.00306398174539198	0.00132945727379915	0.00238400880249404
mprestamos_personales_min6	0.00290973298625389	0.00182864412075642	0.00210893086374473
cpayroll_trx_min6	0.00289651117606811	0.00459519401640648	0.00210893086374473
mcomisiones_avg6	0.00272071806655987	0.00478175271287616	0.00577663671373556
cpayroll_trx_max6	0.00269903578400406	0.000651910589532411	0.00119200440124702
vm_mpagominimo	0.00259978572524123	0.000432684397007013	0.00128369704749679
ccomisiones_mantenimiento_delta2	0.00258499373323325	0.010735275928447	0.00632679259123418
vm_msaldototal	0.00248751102786242	0.00140030970364195	0.00183385292499542
mrentabilidad_annual_avg6	0.00219517660144829	0.00139866779946682	0.00348432055749129
cpayroll_trx_avg6	0.00218430375674958	0.00280745356686996	0.00265908674124335
cpayroll_trx_lag1	0.00185087997475579	0.00134305096096333	0.00100861910874748
ctarjeta_visa_transacciones	0.00169319737921253	0.00440063370251193	0.00311754997249221
cprestamos_personales_min6	0.00167131684429749	0.00177852339655343	0.00128369704749679
Master_status	0.00142917712650159	0.00035537096761795	0.000458463231248854
mcomisiones_mantenimiento	0.00142345702802663	0.00342116323004217	0.00403447643498991
mprestamos_personales_lag2	0.00137717955414033	0.000656996227789128	0.00110031175499725
mcomisiones_mantenimiento_delta1	0.00135210117961089	0.00433570918644427	0.00449293966623877
mcomisiones_mantenimiento_delta2	0.00135166809742031	0.00511988901751301	0.00476801760498808
mpayroll_lag1	0.00130559538994744	0.000962960806137421	0.000916926462497708
mrentabilidad_annual_max6	0.00128125739143962	0.00192592694313255	0.00467632495873831
mcuentas_saldo_avg6	0.00126560342469427	0.00220621277988482	0.00247570144874381
mpasivos_margen_avg6	0.00120243044602077	0.000509816577233888	0.00165046763249587
cproductos_tend6	0.00118199448265302	0.00821094954548947	0.00531817348248671
mautoservicio	0.00116781639706906	0.00560539688358271	0.00366770584999083
cprestamos_personales	0.00116580597896713	0.00300941844212571	0.00339262791124152
vm_status01	0.00115740133008442	0.00764644369899389	0.00293416467999266
mactivos_margen	0.00114795351021429	0.00148043249504494	0.00320924261874198
mpayroll_sobre_edad_lag1	0.00113454179724307	0.00097108503328966	0.000825233816247937
mrentabilidad_annual	0.001129643444011	0.00298353179707894	0.00394278378874014
mcomisiones_lag2	0.00112403262749143	0.00156200527974545	0.00339262791124152
mcomisiones_tend6	0.00112286732175157	0.0058668701234713	0.0059600220062351
cproductos	0.00108265053922238	0.00482739018574382	0.00394278378874014
cdescubierto_preacordado_min6	0.00107661383857777	0.00401250994511488	0.00311754997249221
mpayroll_avg6	0.00107483808925848	0.00128275896024691	0.00146708233999633
mv_status07	0.00107031511384703	0.00133912744968771	0.00137538969374656
mcuentas_saldo_min6	0.00102398497187936	0.00664451432298582	0.00504309554373739
mactivos_margen_min6	0.000997790071345437	0.00411336977301538	0.00788556757748029
Visa_mpagominimo	0.000995074909993725	0.00268811165528388	0.00330093526499175
mcuentas_saldo_tend6	0.000970934414661548	0.00408379950529001	0.00531817348248671
Visa_msaldopesos	0.000960423150682288	0.00276263171523215	0.00284247203374289
mcomisiones_otras_lag2	0.000946509306427152	0.00071003826201799	0.00192554557124519
mcuentas_saldo_lag1	0.000940550850104017	0.000989092670638916	0.00339262791124152
mcaja_ahorro_max6	0.000936677285722961	0.000649207844672709	0.00165046763249587
Visa_status	0.000926338192530375	0.00444348846765423	0.00183385292499542
ccomisiones_mantenimiento_delta1	0.000923710982399651	0.00346081414969989	0.00256739409499358
mprestamos_personales_max6	0.000923337219820419	0.00148125877799022	0.00100861910874748
mactivos_margen_avg6	0.000839981324538271	0.00222392722005995	0.00412616908123969
vmr_msaldototal	0.000823968868099546	0.0015535025616957	0.00192554557124519
vmr_msaldototal_lag1	0.000797821611838191	0.000557735657202052	0.00146708233999633
mpasivos_margen_lag1	0.000797587320618727	0.00148861536163201	0.00247570144874381
mpayroll_sobre_edad_lag2	0.000793332025609662	0.000829492121616013	0.000916926462497708
mrentabilidad_avg6	0.000791619285363444	0.000701759439992118	0.00201723821749496
mcomisiones_max6	0.00077433138804764	0.00287747438290977	0.00284247203374289
mtarjeta_master_consumo	0.000769804662756435	0.00237941767778733	0.00201723821749496
cproductos_delta2	0.000760517209772558	0.00555793625737773	0.00311754997249221
cprestamos_personales_tend6	0.000745277402488581	0.00457977717590499	0.00293416467999266
mtarjeta_visa_consumo_tend6	0.000711145785373232	0.00577745031621955	0.00430955437373923
